Sparkling Grape Juice, 0.1
Claret, 8
Shiraz, 12
Rose, 10.5
Medium White, 10.7
Dry White, 11.0
Medium Red, 11.5
Sparkling White, 12.0
Sweet White, 12.4
Barley Wine, 12.5
Cabernet, 12.5
Pinot Noir, 12.5
Dessert Wine, 17
Zinfandel, 19
Vermouth, 19
Syrahs, 20
Port Wine, 20
